Messgerät,Messwert,Person,Monat
Radiometer,21,Carina,Jan
Radiometer,5,Carina,Jan
Laser,26.451936323465663,Bernd,Jan
Thermometer,18,Carina,Jan
Radiometer,0.16151490389003398,Daniel,Jan
Radiometer,39.23049438725775,Ada,Jan
Laser,46.1587853771132,Bernd,Jan
Laser,10.810885780714072,Daniel,Jan
Radiometer,1,Carina,Jan
Radiometer,11.32752189443037,Ada,Jan
Laser,28,Carina,Jan
Radiometer,19,Carina,Jan
Radiometer,12,Carina,Jan
Thermometer,29,Carina,Jan
Thermometer,28.047048584729,Bernd,Jan
Thermometer,33.40530736904743,Bernd,Jan
Laser,32,Carina,Jan
Thermometer,9.460816540425773,Daniel,Jan
Laser,4.868513054656132,Bernd,Jan
Thermometer,8.836246007022957,Daniel,Jan
Radiometer,25.583916608512673,Bernd,Jan
Radiometer,67.99868733253098,Ada,Jan
Thermometer,7.13200970899206,Bernd,Jan
Laser,43.40159446373799,Bernd,Jan
Thermometer,27.709981213384324,Daniel,Jan
Radiometer,39.48307823020752,Bernd,Jan
Thermometer,8.417141315833849,Bernd,Jan
Laser,5.981521452472216,Bernd,Jan
Radiometer,11.441202889198433,Ada,Jan
Laser,49.20957651476531,Bernd,Jan
Radiometer,39.61435427568395,Bernd,Jan
Thermometer,37.76926328718242,Bernd,Jan
Thermometer,25,Carina,Jan
Thermometer,6,Carina,Jan
Laser,9,Carina,Jan
Thermometer,1.3523966858885768,Daniel,Jan
Laser,49.92906445933938,Ada,Jan
Laser,4.00439022032711,Daniel,Jan
Laser,43.327873491751504,Daniel,Jan
Laser,22,Carina,Jan
Laser,5.403630182327934,Daniel,Jan
Laser,34,Carina,Jan
Laser,25.715036218784093,Ada,Jan
Thermometer,88.83148388370957,Ada,Jan
Thermometer,20,Carina,Jan
Radiometer,33,Carina,Jan
Radiometer,2,Carina,Jan
Thermometer,12.481652716753755,Ada,Jan
Thermometer,21,Carina,Jan
Thermometer,44.71405284537251,Bernd,Jan
Thermometer,28.336280936868864,Ada,Jan
Thermometer,24,Carina,Jan
Thermometer,5.522935527047679,Bernd,Jan
Thermometer,9.441545395277767,Bernd,Jan
Thermometer,45.99564625250031,Ada,Jan
Laser,23.85331512807894,Bernd,Jan
Radiometer,96.49653225591572,Ada,Jan
Thermometer,6.93648798804666,Daniel,Jan
Radiometer,48.538968804428904,Ada,Jan
Thermometer,7.677796678118259,Bernd,Jan
Thermometer,59.39738513928633,Ada,Jan
Laser,5.726973758323266,Daniel,Jan
Thermometer,3.8445396827531066,Bernd,Jan
Laser,4.746511862721279,Daniel,Jan
Laser,13,Carina,Jan
Radiometer,46.92900316070322,Bernd,Jan
Laser,52.98441496572749,Ada,Jan
Thermometer,20.90395805748564,Bernd,Jan
Radiometer,14.828074414123495,Daniel,Jan
Laser,10.370613158056486,Daniel,Jan
Laser,26,Carina,Jan
Thermometer,3.627389988974552,Daniel,Jan
Thermometer,31.063890520090677,Bernd,Jan
Laser,8.066765124966416,Daniel,Jan
Radiometer,42.13652458712887,Bernd,Jan
Laser,65.50513655919136,Ada,Jan
Laser,28.464622623621416,Ada,Jan
Laser,30.147016896831367,Ada,Jan
Radiometer,27.384033735933873,Bernd,Jan
Laser,24.960691861626444,Bernd,Jan
Laser,47.66181090587087,Bernd,Jan
Radiometer,43.505437585706474,Bernd,Jan
Thermometer,84.89619108574234,Ada,Jan
Thermometer,92.53364876077963,Ada,Jan
Thermometer,25,Carina,Jan
Laser,35.15186167169157,Bernd,Jan
Radiometer,30,Carina,Jan
Thermometer,2.470604677881633,Daniel,Jan
Laser,14,Carina,Jan
Laser,21.342928316632168,Daniel,Jan
Thermometer,17.228661724335222,Daniel,Jan
Thermometer,7.819997057659417,Bernd,Jan
Radiometer,7.065226296731003,Daniel,Jan
Thermometer,5.914216146650803,Daniel,Jan
Thermometer,38.42190056378717,Ada,Jan
Thermometer,3.680629621510712,Daniel,Jan
Radiometer,42.48259356185569,Bernd,Jan
Thermometer,4.735434716939723,Bernd,Jan
Thermometer,19,Carina,Jan
Thermometer,34.04629782780206,Bernd,Jan
Radiometer,26.112701066086974,Bernd,Jan
Thermometer,2,Carina,Jan
Radiometer,71.92817572428325,Ada,Jan
Thermometer,8.323254965841898,Bernd,Jan
Laser,6,Carina,Jan
Radiometer,2.2899911214438684,Bernd,Jan
Radiometer,36.1376349876607,Bernd,Jan
Thermometer,20,Carina,Jan
Laser,15.893355390650521,Ada,Jan
Laser,13,Carina,Jan
Radiometer,37.86599464192149,Ada,Jan
Thermometer,21,Carina,Jan
Radiometer,53.82634486367485,Ada,Jan
Laser,32.99292110123496,Bernd,Jan
Laser,45.44694199277167,Ada,Feb
Thermometer,8,Carina,Feb
Radiometer,17.56873507862039,Daniel,Feb
Thermometer,79.83221648579595,Ada,Feb
Laser,73.276241419612,Ada,Feb
Laser,63.068318078074384,Ada,Feb
Thermometer,29.74196356978642,Ada,Feb
Laser,17.69426593571636,Ada,Feb
Laser,82.06053934038331,Ada,Feb
Laser,22,Carina,Feb
Laser,0.8400599227439982,Daniel,Feb
Laser,14,Carina,Feb
Laser,14,Carina,Feb
Laser,20.421860171266125,Daniel,Feb
Radiometer,35,Carina,Feb
Thermometer,44.452237298219686,Bernd,Feb
Laser,10.338706299755968,Bernd,Feb
Radiometer,8.919713003668805,Bernd,Feb
Laser,30.26459165355593,Bernd,Feb
Laser,9,Carina,Feb
Radiometer,25.814905269312426,Daniel,Feb
Laser,72.56741431257683,Ada,Feb
Laser,66.95021185010759,Ada,Feb
Laser,9.417273283306526,Bernd,Feb
Thermometer,30.438081287046266,Bernd,Feb
Radiometer,10,Carina,Feb
Laser,11,Carina,Feb
Laser,21,Carina,Feb
Thermometer,7.022978446383242,Daniel,Feb
Laser,27,Carina,Feb
Laser,71.02611270862224,Ada,Feb
Thermometer,20.011223934436455,Daniel,Feb
Thermometer,6.075712741840694,Bernd,Feb
Radiometer,5.724855577601129,Bernd,Feb
Radiometer,19.013999716535878,Daniel,Feb
Thermometer,3.525799576705652,Daniel,Feb
Laser,31,Carina,Feb
Thermometer,34,Carina,Feb
Laser,28,Carina,Feb
Thermometer,28,Carina,Feb
Thermometer,40.623853791154886,Ada,Feb
Thermometer,85.47334137590448,Ada,Feb
Laser,44.03960977668231,Ada,Feb
Radiometer,18,Carina,Feb
Thermometer,34,Carina,Feb
Thermometer,7.429850103749488,Daniel,Feb
Thermometer,34,Carina,Feb
Radiometer,11,Carina,Feb
Thermometer,13,Carina,Feb
Laser,29.444272570583212,Bernd,Feb
Thermometer,26.469658164074584,Bernd,Feb
Laser,0.3591687308839353,Bernd,Feb
Thermometer,31.320803664242302,Bernd,Feb
Laser,22.791385955210895,Daniel,Feb
Radiometer,8.491407876083407,Daniel,Feb
Radiometer,49.69910751279798,Ada,Feb
Laser,21.249642754755712,Daniel,Feb
Thermometer,22.977639374296622,Bernd,Feb
Radiometer,97.37087392324997,Ada,Feb
Laser,5.954725029393635,Daniel,Feb
Laser,10,Carina,Feb
Radiometer,39.24977603189936,Bernd,Feb
Laser,8,Carina,Feb
